Street Name,From,To,"Served by CTA or
Pace Route(s)"
Homan Ave,Douglas Blvd,North Ave,82
Howard St,Paulina St,Clark St,22
Ida B Wells Dr,Financial Pl,Dearborn St,36
Ida B Wells Dr,Congress Plaza Dr,State St,"7, 147"
Illinois St,Dearborn St,Streeter Dr,"29, 36, 66"
Indiana Ave,41st St,Pershing Rd,39
Indiana Ave,35th St,Michigan Ave,4
Indiana Ave,Roosevelt Rd,16th St,12
Indiana Ave,130th St,127th St,34
Inner Lake Shore Dr,Belmont Ave,W Sheridan Rd,"135, 146"
Irving Park Rd,Cumberland Ave,Lake Shore Dr (local),"9, 80, 135, 148"
Jackson Blvd,Clinton St,Michigan Ave,"7, 151"
Jeffery Blvd,Van Vlissingen Rd,67th St,"15, J14"
Justine St,63rd St,Ashland/63rd CTA Station,63
Kedzie Ave,48th Pl,47th St,47
Kedzie Ave,Milwaukee Ave,Diversey Ave,76
Keefe Ave,69th St,Rhodes Ave,67
Kimball Ave,North Ave,Lincoln Ave,82
King Dr,115th St,26th St,"3, 21, 111, 115"
Kinzie St,Dearborn St,State St,62
Kostner Ave,Harrison St,Fifth Ave,7
Lafayette Ave,69th St,95th St,"29, 75"
Lake St,State St,Michigan Ave,146
LaSalle Dr,Lake Shore Dr,Stockton Dr,151
LaSalle St,Pershing Road,35th Street,39
LaSalle St,47th St,43rd St,43
Lawndale Ave,32nd Ave,25th St,82
Lawrence Ave,Milwaukee Ave,N Lake Shore Dr W,81
Lincoln Ave,Bryn Mawr Ave,Leland Ave,11
Lincoln Ave,Webster Ave,Fullerton Ave,"37, 74"
Lipps Ave,Jefferson Park Blue Line Station,Lawrence Ave,81
Loomis Blvd,74th St,76th St,75
Loomis St,Cermak Rd,Blue Island Ave,60
Madison St,Austin Blvd,Michigan Ave,"20, 60, J14"
Marine Dr,Foster Ave,Irving Park Rd,"81, 136, 146, 148"
Marquette Rd,67th St,Promontory Dr,67
Marshfield Ave,117th St,119th St,"111, 115"
McCormack Blvd,Lincoln Ave,Devon Ave,82
McFetridge Dr,Museum Campus Dr,Columbus Dr,146
Michigan Ave,127th St,95th St,"34, 39, 106, 119"
Michigan Ave,35th St,Lake Shore Dr,"3, 4, 6, 7, 12, 20, 21, 26, 60, J14, 146, 147, 151"
Milwaukee Ave,Division St,Foster Ave,"56, 68, 76, 85/85A, 81, 88, 91, 92"
Milwaukee Ave,W Veterans Place,Albion Ave,Pulse Milwaukee
Montrose Ave,Kimball Ave,California Ave,78
Morgan St,Garfield Blvd,Rainey Dr,55
Morse Ave,Ashland Blvd,Sheridan Rd,155
N Lake Shore Dr W,Belmont Ave,Diversey Pkwy,77
North Ave,Harlem Ave,Clark St,72
Ogden Ave,Pulaski Rd,Western Ave,157
Ogden Ave,Roosevelt Rd,Polk St,"12, 157"
Museum Campus Dr,Solidarity Dr,McFetridge Dr,146
Paulina St,Rogers Ave,Howard St,22
Paulina St,Polk St,Harrison St,7
Pershing Rd,Cottage Grove Ave,LaSalle St,39
Polk St,Wood St,Paulina St,7
Polk St,Clark St,State St,"22, 62"
Prairie Ave,Pershing Road,41st Street,39
Pratt Blvd,Sheridan Rd,Ashland Blvd,155
Pulaski Rd,31st St,Peterson Ave,53
Pulaski Rd,36th St,87th St.,53A
Pulaski Rd,99th St,115th St,53A
Racine Ave,Blue Island Ave,Harrison St,60
Racine Ave,76th St,74th St,75
Rainey Dr,Morgan St,55th St,55
Randolph St,Michigan Ave,Harbor Dr,"4, 6, 60"
Rhodes Ave,Keefe Ave,67th St,67
Rogers Ave,Clark St,Paulina St,22
Roosevelt Rd,Central Ave,Ogden Ave,12
Roosevelt Rd,Damen Ave,Columbus Dr,"12, 146"
S Hyde Park Blvd,57th Dr,E Hyde Park Blvd,"6, 28, 55"
S Lake Park Ave,56th St,47th St,"2, 6, 15, 28"
S Lake Shore Dr (local),E Hyde Park Blvd,50th St,172
S South Shore Dr,83rd St,67th St,"6, 26, 71"
Sheridan Rd,Foster Ave,Howard St,"92, 136, 147, 155"
Sheridan Rd,Diversey Pkwy,Melrose St,"77, 134, 143, 151"
Solidarity Dr,Planetarium,Museum Campus Dr,146
South Water,Columbus Dr,Michigan Ave,4
Southport Ave,Clark St,Irving Park Rd,9
State St,95th St,Division St,"6, 29, 36, 62, 71, 75, 142, 147"
Stetson Ave,Randolph St,Wacker Dr,6
Stockton Dr,LaSalle Dr,Cannon Dr,151
Stony Island Ave,56th St,95th St,"2, 6, 15, 26, 28, 63, 95"
Streeter Dr,Illinois St,Grand Ave,66
Taylor St,Ogden Ave,Damen Ave,12
Trumbull Ave,Cermak Rd,Cermak Rd,21
Torrence Ave,112th St,100th St,"71, J14"
Van Vlissingen Rd,100th St,Jeffery Blvd,"15, J14"
Vincennes Ave,69th Red Line Station,71st St,71
Vincennes Ave,115th St,111th St,111
W Sheridan Rd,Lake Shore Dr,N Sheridan Rd,"80, 151"
Wacker Dr,State St,Columbus Dr,6
Walton St,Dearborn St,Clark St,"22, 70"
Washington St,Halsted St,Michigan Ave,"20, 60, J14, 147, 151"
Waveland Ave,Halsted St,Broadway,8
Webster Ave,Halsted St,Lincoln Ave,74
Wells St,47th St,51st St,15
Wentworth Ave,51st St,47th St,15
Western Ave,79th St,Howard St,"49, X49, 49B"
Western Ave,95th St,87th St,95
Wood St,Harrison St,Polk St,7
Woodlawn Ave,93rd St,95th St,95
Woodlawn Ave,59th St,E Hyde Park Blvd,172
Yates Ave,103rd St,100th St,15
Yates Ave,73rd St,71st St,71
